,Category Rank,Athlete,Country Code,Country Code.1,Country or State Code,18m-1,18m-1.1,18m-2,18m-2.1,Score,10,9,Event,Division,Class,Unnamed: 12
179,32,FITZPATRICK Daniella,,2663,Archery Fit London,259,31,265,32,524,11,27,RW,R,W,
180,33,JONES Ellen,,268,Oxford Uni Company of Archers,267,23,256,41,523,11,28,RW,R,W,
181,34,BEBBINGTON-TRENGOVE Melanie-Lee,,872,Bowmen of Pendle & Samlesbury,260,30,261,38,521,13,24,RW,R,W,
182,35,IMRIE Gillian,,197,Penicuik Archers,258,32,262,35,520,18,26,RW,R,W,
183,36,UUSNÄKKI Paula,,AGBLANC,Archery GB,254,35,262,36,516,17,18,RW,R,W,
184,37,BURTON Robin,,203,Edinburgh Uni AC (Students),251,42,264,34,515,15,22,RW,R,W,
185,38,IVANOV Kayleigh,,1261,Balbardie Archers,239,53,274,18,513,16,21,RW,R,W,
186,39,ROADKNIGHT Katie,,692,Redhill Archers,252,41,258,39,510,20,19,RW,R,W,
187,40,PERRING Ella,,2595,Wallingford Castle Archers,249,48,261,37,510,12,26,RW,R,W,
188,41,HASLAM Isabelle,,1040,Anchor Bowmen Archery Club,253,40,253,42,506,11,21,RW,R,W,
189,42,WILLIAMS Whitney,,4,Archery GB,237,54,268,27,505,16,16,RW,R,W,
190,43,LIU Xin,,AGBMIDD,Archery GB,251,44,247,46,498,10,22,RW,R,W,
191,44,LANGTON Paula,,2627,Peacock Archers,251,43,247,47,498,10,18,RW,R,W,
192,45,ALEXANDER Jacci,,932,Cheshire County Bowmen,249,46,249,45,498,9,24,RW,R,W,
193,46,COSSADE Eleonore,,272,Oxford Archers,253,39,244,51,497,15,24,RW,R,W,
194,47,GINMAN Petra,,225,Ditchling Archery Club,245,52,251,44,496,10,20,RW,R,W,
195,48,GEDDES Debbie,,1322,Lethen Archers,249,45,245,49,494,15,16,RW,R,W,
196,49,YULE Mirran,,1982,Balbardie Junior Archers,254,37,240,54,494,13,13,RW,R,W,
197,50,HANNEMANN Anke,,441,City of Cambridge Bowmen,254,37,234,60,488,10,20,RW,R,W,
198,51,AUBREY Wendy,,872,Bowmen of Pendle & Samlesbury,248,49,240,55,488,7,21,RW,R,W,
199,52,MARKS Kerry,,1077,University of Plymouth,235,56,251,43,486,10,15,RW,R,W,
200,53,KENDRICK Laura,,1037,Burton Bridge Archers,249,46,233,61,482,10,16,RW,R,W,
201,54,MEYER Johanna,,1311,Edinburgh Uni AC Alumni,236,55,245,50,481,10,16,RW,R,W,
202,55,CLAMPIN Ella,,464,West Essex Bowmen,234,59,239,57,473,6,22,RW,R,W,
203,56,CAMPBELL Hazel,,43,Lisburn City Archery Club,235,57,231,62,466,11,19,RW,R,W,
204,57,BUCKNER Jodie,,413,Overton Black Arrows,221,62,242,52,463,6,18,RW,R,W,
205,58,LEVITT Florence,,2627,Peacock Archers,234,58,226,64,460,5,17,RW,R,W,
206,59,HURSHAM Sofia,,AGBLIN,Archery GB,209,64,246,48,455,6,16,RW,R,W,
207,60,HULSE Jessica,,788,The Audco Archers,247,50,193,69,440,8,13,RW,R,W,
208,61,MCCORMICK Helen,,43,Lisburn City Archery Club,223,61,213,66,436,12,12,RW,R,W,
209,62,MANTRAVADI Siri Vennela,,464,West Essex Bowmen,202,66,234,59,436,9,15,RW,R,W,
210,63,CURRUMS Alexandra,,940,Bebington Archers,198,67,238,58,436,6,12,RW,R,W,
211,64,CHUMBER Amelia,,483,Braintree Bowmen,196,68,239,56,435,11,6,RW,R,W,
212,65,YOUNG Kirsty,,259,Guildford AC,224,60,206,67,430,10,5,RW,R,W,
213,66,BRAND Emma,,808,Leeds University AC,204,65,224,65,428,4,19,RW,R,W,
214,67,HUMPHREYS Joanne,,2490,Cardiff University A.C.,220,63,204,68,424,7,11,RW,R,W,
215,68,PATTERSON Jill,,2627,Peacock Archers,177,70,227,63,404,6,15,RW,R,W,
216,69,WALSH Claire,,1625,Southampton Archery Club,162,75,241,53,403,5,13,RW,R,W,
217,70,ASTRIDGE Charlotte,,348,Bowmen of Darenteford,173,72,176,71,349,4,5,RW,R,W,
218,71,EVANS Xiao Guang Li,,2571,Eagle Bowman of Bedford,170,73,166,72,336,2,7,RW,R,W,
219,72,WESTWOOD Katy,,389,A C Delco Juniors,180,69,156,73,336,1,12,RW,R,W,
220,73,REARDEN Valeria,,AGBAAA,Archery GB,166,74,149,74,315,2,7,RW,R,W,
221,74,HOLDSWORTH Sarah,,253,Reigate Priory Bowmen,106,78,177,70,283,1,9,RW,R,W,
222,75,WINSTANLEY Olivia,,529,Kestrels AC,131,76,144,75,275,3,9,RW,R,W,
223,76,CORNISH Amanda,,2571,Eagle Bowman of Bedford,130,77,126,77,256,5,2,RW,R,W,
224,77,ROSE Amanda,,921,Winnington Park Bowmen,104,79,137,76,241,1,4,RW,R,W,
225,78,DAWSON Abbie,,2571,Eagle Bowman of Bedford,88,80,118,78,206,0,4,RW,R,W,
226,1,RALLS Luke,,1501,R.N. South Coast Archers,295,2,296,1,591,51,9,CM,C,M,
227,2,BUSBY Duncan,,1624,Blackthorn Bowmen,291,5,296,1,587,47,13,CM,C,M,
228,3,MASON James,,1017,Bowmen of Rutland,291,5,294,4,585,45,15,CM,C,M,
229,4,RICHARDS Carl,,731,Meriden Archery Club,289,12,295,3,584,44,16,CM,C,M,
230,5,WONG Matthew,,119,Links Archers,292,3,292,8,584,44,16,CM,C,M,
231,6,DUNCAN Tom,,731,Meriden Archery Club,290,10,293,7,583,43,17,CM,C,M,
232,7,THOMAS-PRAUSE Kai,,717,University of Warwick,292,3,291,10,583,43,17,CM,C,M,
233,8,HOWELL James,,464,West Essex Bowmen,296,1,286,28,582,42,18,CM,C,M,
234,9,CARPENTER Adam,,831,Barnsley AC,288,17,294,4,582,42,18,CM,C,M,
235,10,WALSH Jake,,1297,Ballyvally Archers Banbridge,288,17,294,4,582,42,18,CM,C,M,
236,11,WHITE Christopher,,731,Meriden Archery Club,291,5,291,10,582,42,18,CM,C,M,
237,12,PEAKE Liam,,943,North Cheshire Bowmen,290,10,291,10,581,41,19,CM,C,M,
238,13,RAVENSCROFT Adam,,1022,Bowmen of Birstall,288,15,292,8,580,41,18,CM,C,M,
239,14,SCOTT Simon,,1035,Derwent Bowmen,287,22,290,13,577,37,23,CM,C,M,
240,15,LOCK Oskars,,809,York Archers Society,291,5,286,28,577,37,23,CM,C,M,
241,16,FREARSON Luke,,AGBNOTT,Archery GB,287,22,289,16,576,36,24,CM,C,M,
242,17,AUBREY Mike,,872,Bowmen of Pendle & Samlesbury,291,5,284,38,575,35,25,CM,C,M,
243,18,CASSELLS Christopher,,1126,The Castle Archers,285,32,290,13,575,35,25,CM,C,M,
244,19,HASLAM Lewis,,1040,Anchor Bowmen Archery Club,288,17,287,22,575,35,25,CM,C,M,
245,20,SARGEANT Jason,,351,Canterbury Archers,287,22,288,20,575,35,25,CM,C,M,
246,21,GLOVER Philip,,AGBESS,Archery GB,286,29,289,16,575,35,25,CM,C,M,
247,22,WILLIAMS Colin,,72,Llandaff City Bowmen,289,12,285,33,574,35,24,CM,C,M,
248,23,KELLS Michael,,333,Swan Archers,287,22,287,22,574,34,26,CM,C,M,
249,24,SCOTT Andrew,,654,Redruth Archers,288,17,286,28,574,34,26,CM,C,M,
250,25,SHAW Adam,,570,Cleve Archers,287,22,287,22,574,34,26,CM,C,M,
251,26,CHAPMAN Bill,,1019,Bowmen of Glen,285,32,288,20,573,33,27,CM,C,M,
252,27,MACQUEEN Nathan,,1261,Balbardie Archers,286,29,287,22,573,33,27,CM,C,M,
253,28,PERKINS Louis,,AGBLIN,Archery GB,286,29,286,28,572,32,28,CM,C,M,
254,29,BALDWIN Sam,,2356,Dark Side Archers,282,48,290,13,572,32,28,CM,C,M,
255,30,THOMAS Matthew,,942,Wirral Archers,287,22,285,34,572,32,28,CM,C,M,
256,31,SUTHERLAND Gavin,,214,Worthing AC,287,22,285,34,572,32,28,CM,C,M,
257,32,DUNCANSON Kevin,,907,Cleadon Archers,288,15,283,43,571,33,25,CM,C,M,SO
258,33,MAHER Jonathan,,2576,Silvercloud Archers A.B.,288,17,283,44,571,31,29,CM,C,M,SO
259,34,LAWSON Allan,,1035,Derwent Bowmen,284,39,286,26,570,31,28,CM,C,M,
260,35,PARVESS Mike,,1339,Rivernook Bowmen,283,42,286,28,569,30,29,CM,C,M,
261,36,GEENES Colin,,731,Meriden Archery Club,280,57,289,16,569,29,31,CM,C,M,
262,37,STUBBS MBE John,,881,Eccles Archery Club,284,37,284,38,568,30,28,CM,C,M,
263,38,EDWARDS Stephen,,79,Llantarnam Archery Club,280,57,288,19,568,29,30,CM,C,M,
264,39,BRAMLEY David,,1035,Derwent Bowmen,284,39,284,38,568,28,32,CM,C,M,
265,39,HARPER Rhys,,2327,Gronant Bowmen,285,32,283,44,568,28,32,CM,C,M,
266,41,BRAY Alexander,,2571,Eagle Bowman of Bedford,283,44,284,37,567,28,31,CM,C,M,
267,42,PINDER Paul,,57,Radnor Foresters,282,48,285,34,567,27,33,CM,C,M,
268,42,PRIDE Euan,,1699,Moray Archery Club,289,12,278,68,567,27,33,CM,C,M,
269,44,HOLMES Alex,,102,RAF Lossiemouth Archery Club,283,42,283,44,566,27,32,CM,C,M,
270,45,LASZKOWICZ Neil,,1017,Bowmen of Rutland,282,48,284,38,566,26,34,CM,C,M,
271,45,TOHOVITIS George,,964,Sherwood Archers,285,32,281,55,566,26,34,CM,C,M,
272,47,HAYNES Stephen,,438,Jolly Archers of H,282,48,283,44,565,25,35,CM,C,M,
273,48,GROOM Chris,,618,Supermarine Bowmen,282,46,282,50,564,26,32,CM,C,M,
274,49,ATKINSON Jack,,441,City of Cambridge Bowmen,278,70,286,26,564,25,34,CM,C,M,
